epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2611.31,0.94284,1.26701,1.44829,0.69582,0.61224,0.66914,0.44218,1.10543,1.26681,1.54076,0.000302977,0.000302977,0.000302977
2,5181.08,0.98048,1.36431,1.47925,0.7369,0.64348,0.70436,0.48268,1.04733,1.16516,1.48921,0.000485993,0.000485993,0.000485993
3,7736.89,0.96437,1.3334,1.46689,0.74594,0.67475,0.73301,0.51446,1.00527,1.10863,1.44902,0.000549022,0.000549022,0.000549022
4,10290,0.92233,1.22807,1.42838,0.76839,0.69117,0.75536,0.53957,0.97654,1.02803,1.41641,0.000369054,0.000369054,0.000369054
5,12854.2,0.87139,1.10583,1.38243,0.77982,0.70424,0.76957,0.55703,0.95428,0.97389,1.38974,0.000189072,0.000189072,0.000189072
